Usuario;URL;Seguidores;Publicaciones;Estado
loriharder;https://instagram.com/loriharder;277698;6827;CUMPLE REQ
leoclimaco;https://instagram.com/leoclimaco;19199;773;CUMPLE REQ
barbaracorcoran;https://instagram.com/barbaracorcoran;1265908;3506;CUMPLE REQ
codiesanchez;https://instagram.com/codiesanchez;2928196;2099;CUMPLE REQ
weswatson1904;https://instagram.com/weswatson1904;37738;211;CUMPLE REQ
hormozi;https://instagram.com/hormozi;4244530;3457;CUMPLE REQ
jasonskeldon;https://instagram.com/jasonskeldon;115875;1680;CUMPLE REQ
annemahlum;https://instagram.com/annemahlum;95015;766;CUMPLE REQ
fedreacts;https://instagram.com/fedreacts;185025;938;CUMPLE REQ
fatjoe;https://instagram.com/fatjoe;5819642;8179;CUMPLE REQ
sethgodin;https://instagram.com/sethgodin;413198;278;CUMPLE REQ
